Date,Open,High,Low,Close,Volume,Adj Close,trade_status,maxupordown,new_column
2015-12-22 10:47:00.005000,12.45,12.47,12.44,12.44,124978.0,12.44,1,0,1
2015-12-22 10:48:00.004996,12.44,12.44,12.43,12.44,237600.0,12.44,1,0,1
2015-12-22 10:49:00.005003,12.44,12.46,12.44,12.44,116700.0,12.44,1,0,1
2015-12-22 10:50:00.004999,12.44,12.45,12.43,12.44,102100.0,12.44,1,0,1
2015-12-22 10:51:00.004996,12.45,12.45,12.43,12.44,176174.0,12.44,1,0,1
2015-12-22 10:52:00.005002,12.44,12.47,12.44,12.45,72300.0,12.45,1,0,1
2015-12-22 10:53:00.004998,12.45,12.46,12.45,12.46,156000.0,12.46,1,0,1
2015-12-22 10:54:00.005005,12.47,12.48,12.46,12.48,176322.0,12.48,1,0,1
2015-12-22 10:55:00.005001,12.47,12.48,12.46,12.46,133078.0,12.46,1,0,1
2015-12-22 10:56:00.004998,12.46,12.47,12.45,12.45,125700.0,12.45,1,0,1
2015-12-22 10:57:00.005004,12.45,12.46,12.45,12.46,81600.0,12.46,1,0,1
2015-12-22 10:58:00.005001,12.45,12.46,12.45,12.45,119500.0,12.45,1,0,1
2015-12-22 10:59:00.004997,12.45,12.47,12.45,12.46,106456.0,12.46,1,0,1
2015-12-22 11:00:00.005004,12.46,12.47,12.44,12.45,116344.0,12.45,1,0,1
2015-12-22 11:01:00.005000,12.45,12.45,12.44,12.45,84900.0,12.45,1,0,1
2015-12-22 11:02:00.004996,12.44,12.45,12.44,12.44,95600.0,12.44,1,0,1
2015-12-22 11:03:00.005003,12.45,12.45,12.44,12.44,473700.0,12.44,1,0,1
2015-12-22 11:04:00.004999,12.44,12.45,12.43,12.44,210400.0,12.44,1,0,1
2015-12-22 11:05:00.004996,12.43,12.44,12.41,12.41,561126.0,12.41,1,0,1
2015-12-22 11:06:00.005002,12.42,12.42,12.41,12.41,361500.0,12.41,1,0,1
2015-12-22 11:07:00.004999,12.42,12.42,12.4,12.41,422324.0,12.41,1,0,1
2015-12-22 11:08:00.005005,12.42,12.42,12.4,12.4,345200.0,12.4,1,0,1
2015-12-22 11:09:00.005002,12.41,12.42,12.41,12.41,398300.0,12.41,1,0,1
2015-12-22 11:10:00.004998,12.41,12.43,12.41,12.43,96992.0,12.43,1,0,1
2015-12-22 11:11:00.005004,12.42,12.43,12.41,12.42,104600.0,12.42,1,0,1
2015-12-22 11:12:00.005001,12.42,12.43,12.41,12.41,197200.0,12.41,1,0,1
2015-12-22 11:13:00.004997,12.41,12.41,12.4,12.4,399608.0,12.4,1,0,1
2015-12-22 11:14:00.005004,12.41,12.41,12.39,12.4,468476.0,12.4,1,0,1
2015-12-22 11:15:00.005000,12.41,12.41,12.38,12.38,556300.0,12.38,1,0,1
2015-12-22 11:16:00.004997,12.38,12.39,12.38,12.38,493760.0,12.38,1,0,1
2015-12-22 11:17:00.005003,12.38,12.39,12.38,12.39,133600.0,12.39,1,0,1
2015-12-22 11:18:00.005000,12.39,12.39,12.38,12.39,129510.0,12.39,1,0,1
2015-12-22 11:19:00.004996,12.38,12.4,12.38,12.39,84600.0,12.39,1,0,1
2015-12-22 11:20:00.005002,12.4,12.4,12.39,12.4,461600.0,12.4,1,0,1
2015-12-22 11:21:00.004999,12.39,12.4,12.39,12.39,783500.0,12.39,1,0,1
2015-12-22 11:22:00.004995,12.39,12.4,12.39,12.4,97400.0,12.4,1,0,1
2015-12-22 11:23:00.005002,12.39,12.4,12.39,12.39,66500.0,12.39,1,0,1
2015-12-22 11:24:00.004998,12.4,12.4,12.39,12.39,326900.0,12.39,1,0,1
2015-12-22 11:25:00.005005,12.4,12.4,12.39,12.39,205400.0,12.39,1,0,1
2015-12-22 11:26:00.005001,12.4,12.4,12.39,12.39,335319.0,12.39,1,0,1
2015-12-22 11:27:00.004998,12.39,12.4,12.39,12.39,128700.0,12.39,1,0,1
2015-12-22 11:28:00.005004,12.4,12.4,12.39,12.39,66000.0,12.39,1,0,1
2015-12-22 11:29:00.005000,12.4,12.4,12.39,12.4,254800.0,12.4,1,0,1
2015-12-22 13:00:00.004997,12.4,12.41,12.4,12.4,239402.0,12.4,1,0,1
2015-12-22 13:01:00.005003,12.41,12.41,12.4,12.4,129020.0,12.4,1,0,1
2015-12-22 13:02:00.005000,12.39,12.42,12.39,12.4,81680.0,12.4,1,0,1
2015-12-22 13:03:00.004996,12.41,12.42,12.4,12.41,106900.0,12.41,1,0,1
2015-12-22 13:04:00.005003,12.41,12.42,12.4,12.41,41600.0,12.41,1,0,1
2015-12-22 13:05:00.004999,12.41,12.42,12.4,12.42,84700.0,12.42,1,0,1
2015-12-22 13:06:00.004996,12.41,12.41,12.41,12.41,42200.0,12.41,1,0,1
2015-12-22 13:07:00.005002,12.4,12.42,12.39,12.39,210520.0,12.39,1,0,1
2015-12-22 13:08:00.004998,12.39,12.4,12.39,12.4,307400.0,12.4,1,0,1
2015-12-22 13:09:00.005005,12.39,12.41,12.39,12.41,115000.0,12.41,1,0,1
2015-12-22 13:10:00.005001,12.4,12.42,12.4,12.4,219760.0,12.4,1,0,1
2015-12-22 13:11:00.004998,12.41,12.41,12.39,12.4,116700.0,12.4,1,0,1
2015-12-22 13:12:00.005004,12.41,12.42,12.4,12.42,60549.0,12.42,1,0,1
2015-12-22 13:13:00.005001,12.41,12.42,12.41,12.41,103100.0,12.41,1,0,1
2015-12-22 13:14:00.004997,12.42,12.42,12.41,12.41,127365.0,12.41,1,0,1
2015-12-22 13:15:00.005004,12.42,12.42,12.41,12.41,109697.0,12.41,1,0,1
2015-12-22 13:16:00.005000,12.42,12.42,12.41,12.42,141948.0,12.42,1,0,1
2015-12-22 13:17:00.004996,12.42,12.43,12.42,12.42,115000.0,12.42,1,0,1
2015-12-22 13:18:00.005003,12.42,12.43,12.41,12.42,488100.0,12.42,1,0,1
2015-12-22 13:19:00.004999,12.42,12.43,12.41,12.42,72900.0,12.42,1,0,1
2015-12-22 13:20:00.004996,12.42,12.43,12.42,12.43,151200.0,12.43,1,0,1
2015-12-22 13:21:00.005002,12.42,12.44,12.42,12.42,112000.0,12.42,1,0,1
2015-12-22 13:22:00.004999,12.42,12.43,12.42,12.42,216100.0,12.42,1,0,1
2015-12-22 13:23:00.005005,12.42,12.42,12.4,12.41,599400.0,12.41,1,0,1
2015-12-22 13:24:00.005002,12.4,12.4,12.39,12.4,216548.0,12.4,1,0,1
2015-12-22 13:25:00.004998,12.39,12.4,12.39,12.39,121845.0,12.39,1,0,1
2015-12-22 13:26:00.005004,12.39,12.4,12.39,12.4,148900.0,12.4,1,0,1
2015-12-22 13:27:00.005001,12.4,12.41,12.39,12.4,80206.0,12.4,1,0,1
2015-12-22 13:28:00.004997,12.4,12.41,12.39,12.4,155600.0,12.4,1,0,1
2015-12-22 13:29:00.005004,12.4,12.41,12.39,12.4,234000.0,12.4,1,0,1
2015-12-22 13:30:00.005000,12.4,12.42,12.4,12.41,203171.0,12.41,1,0,1
2015-12-22 13:31:00.004997,12.41,12.42,12.4,12.41,336229.0,12.41,1,0,1
2015-12-22 13:32:00.005003,12.41,12.43,12.4,12.42,152000.0,12.42,1,0,1
2015-12-22 13:33:00.005000,12.42,12.43,12.42,12.42,158200.0,12.42,1,0,1
2015-12-22 13:34:00.004996,12.41,12.42,12.41,12.41,60900.0,12.41,1,0,1
2015-12-22 13:35:00.005002,12.41,12.42,12.41,12.42,105000.0,12.42,1,0,1
2015-12-22 13:36:00.004999,12.41,12.42,12.41,12.41,83800.0,12.41,1,0,1
2015-12-22 13:37:00.004995,12.41,12.43,12.41,12.43,155119.0,12.43,1,0,1
2015-12-22 13:38:00.005002,12.43,12.43,12.42,12.42,235514.0,12.42,1,0,1
2015-12-22 13:39:00.004998,12.43,12.43,12.41,12.42,222267.0,12.42,1,0,1
2015-12-22 13:40:00.005005,12.42,12.44,12.41,12.42,139200.0,12.42,1,0,1
2015-12-22 13:41:00.005001,12.41,12.42,12.4,12.42,466794.0,12.42,1,0,1
2015-12-22 13:42:00.004998,12.41,12.41,12.4,12.41,114900.0,12.41,1,0,1
2015-12-22 13:43:00.005004,12.41,12.41,12.4,12.41,215700.0,12.41,1,0,1
2015-12-22 13:44:00.005000,12.41,12.41,12.4,12.4,193300.0,12.4,1,0,1
2015-12-22 13:45:00.004997,12.41,12.42,12.4,12.42,200000.0,12.42,1,0,1
2015-12-22 13:46:00.005003,12.41,12.42,12.41,12.42,212900.0,12.42,1,0,1
2015-12-22 13:47:00.005000,12.41,12.42,12.41,12.42,159372.0,12.42,1,0,1
2015-12-22 13:48:00.004996,12.42,12.42,12.4,12.4,140128.0,12.4,1,0,1
2015-12-22 13:49:00.005003,12.4,12.41,12.4,12.4,370600.0,12.4,1,0,1
2015-12-22 13:50:00.004999,12.41,12.41,12.39,12.39,156306.0,12.39,1,0,1
2015-12-22 13:51:00.004996,12.4,12.4,12.39,12.39,163900.0,12.39,1,0,1
2015-12-22 13:52:00.005002,12.39,12.4,12.39,12.4,205760.0,12.4,1,0,1
2015-12-22 13:53:00.004998,12.4,12.41,12.39,12.41,673159.0,12.41,1,0,1
2015-12-22 13:54:00.005005,12.4,12.42,12.4,12.42,458930.0,12.42,1,0,1
2015-12-22 13:55:00.005001,12.41,12.42,12.41,12.41,155672.0,12.41,1,0,1
2015-12-22 13:56:00.004998,12.42,12.43,12.42,12.42,111125.0,12.42,1,0,1
2015-12-22 13:57:00.005004,12.42,12.44,12.42,12.43,119444.0,12.43,1,0,1
2015-12-22 13:58:00.005001,12.43,12.44,12.42,12.44,69500.0,12.44,1,0,1
2015-12-22 13:59:00.004997,12.43,12.44,12.43,12.43,127449.0,12.43,1,0,1
2015-12-22 14:00:00.005004,12.44,12.44,12.43,12.44,88401.0,12.44,1,0,1
2015-12-22 14:01:00.005000,12.43,12.45,12.43,12.44,122600.0,12.44,1,0,1
2015-12-22 14:02:00.004996,12.44,12.45,12.44,12.44,165301.0,12.44,1,0,1
2015-12-22 14:03:00.005003,12.45,12.45,12.44,12.44,119499.0,12.44,1,0,1
2015-12-22 14:04:00.004999,12.44,12.45,12.43,12.45,109400.0,12.45,1,0,1
2015-12-22 14:05:00.004996,12.43,12.45,12.43,12.43,164930.0,12.43,1,0,1
